.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,Target_Resp.rt,participant,fMRI? (yes or no),date,expName,frameRate,
0,6,10.0,8.016948624979705,Blue,0,-1,0,12.405147459008731,12.40505069246538,4.387444249994587,0.516123483448979,0.5162588749662973,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
1,3,15,12.405216875020415,Green,1,1,1,16.433569792017806,16.44508349981723,4.027909249998629,0.5215013748277499,0.5100168749922886,0.3794424579828046,999,no,2023-06-06_21h49.12.704,MID1.0,None,
2,3,12,16.43362862500362,Green,1,1,2,20.876909916987643,20.881329748031874,4.44287595897913,0.5242538730471438,0.5198716670274734,0.32857620902359486,999,no,2023-06-06_21h49.12.704,MID1.0,None,
3,3,12,20.87697979202494,Green,1,1,3,25.163113459013402,25.168207352358856,4.285664875002112,0.5100846853638146,0.5050256249960512,0.3359579580137506,999,no,2023-06-06_21h49.12.704,MID1.0,None,
4,3,9,25.1631807499798,Blue,0,-1,3,29.40361308399588,29.41348525440837,4.2396565829985775,0.4973205453861027,0.48747987498063594,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
5,3,12,29.40366987499874,Green,0,-1,3,33.47761216701474,33.47952081894346,4.073499041958712,0.5226984849696308,0.5208635409944691,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
6,3,15,33.47776541701751,Green,1,1,4,37.87696862500161,37.87885273747883,4.397725375019945,0.5175193204711306,0.5156667919945903,0.383770624990575,999,no,2023-06-06_21h49.12.704,MID1.0,None,
7,2,15,37.87702391698258,Green,1,1,5,42.03274858399527,42.03791156778369,4.155389833031222,0.5185716928148238,0.5134493340156041,0.3850001249811612,999,no,2023-06-06_21h49.12.704,MID1.0,None,
8,2,13,42.032818000006955,Blue,1,-1,5,46.42476887500379,46.43516624952953,4.391494625015184,0.5258672495377965,0.5155027090222575,0.3409627499640919,999,no,2023-06-06_21h49.12.704,MID1.0,None,
9,2,13,46.42483787500532,Blue,1,-1,5,50.855114416975994,50.85773615333252,4.42985083302483,0.5282458193623469,0.5257132910192013,0.3510066670132801,999,no,2023-06-06_21h49.12.704,MID1.0,None,
10,2,11,50.85528316698037,Green,1,1,6,54.89781458402285,54.906442739416086,4.041983707982581,0.5114457394203029,0.502911125018727,0.32211033400380984,999,no,2023-06-06_21h49.12.704,MID1.0,None,
11,2,11,54.89802362502087,Green,1,1,7,59.40040029201191,59.403631034980016,4.501717250037473,0.5162714099604173,0.5130776249570772,0.3274319999618456,999,no,2023-06-06_21h49.12.704,MID1.0,None,
12,2,9,59.40046908397926,Green,0,-1,7,63.48847304197261,63.49763252243314,4.087558042025194,0.508442813420281,0.4993171250098385,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
13,2,11,63.48853366699768,Blue,0,-1,7,67.62494204199174,67.62992442047032,4.136001500010025,0.5164541704863694,0.511508124996908,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
14,2,13,67.62500870897202,Green,0,-1,7,71.90536983398488,71.91539386327428,4.279811332991812,0.509934363298143,0.4999400840024464,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
15,2,15,71.90542462497251,Green,1,1,8,76.26127937500132,76.26644490617159,4.355537333001848,0.5319661561964892,0.5269367500441149,0.3918791249743663,999,no,2023-06-06_21h49.12.704,MID1.0,None,
16,1,15,76.26152058399748,Green,1,1,9,80.38867904199287,80.39329741628877,4.126233167015016,0.5120609572766313,0.5074977909680456,0.38024295802460983,999,no,2023-06-06_21h49.12.704,MID1.0,None,
17,1,14,80.38877016701736,Green,1,1,10,84.83239066699753,84.83354915331604,4.443102375022136,0.5140289443314288,0.5129063749918714,0.3634307920001447,999,no,2023-06-06_21h49.12.704,MID1.0,None,
