CueType,Accuracy
-$5,20
+$1,80
$0,80
+$1,20
+$1,20
$0,80
+$1,20
-$1,50
$0,50
+$5,50
+$5,50
+$1,50
+$1,50
+$5,80
+$1,80
+$5,20
-$1,80
+$5,80
-$1,20
-$5,20
+$1,50
$0,80
-$5,20
-$1,80
+$1,80
+$5,50
-$5,50
-$5,50
-$1,20
-$5,80
$0,80
+$5,20
+$1,80
+$1,20
-$1,50
+$1,80
-$5,50
$0,20
$0,20
-$5,50
+$1,20
-$1,20
$0,20
$0,50
-$1,20
$0,50
-$5,80
-$1,80
$0,20
+$1,50
+$5,20
$0,80
+$5,20
+$1,50
$0,20
+$5,80
-$5,80
-$5,20
$0,50
-$1,50
+$5,20
+$1,20
$0,50
+$1,50
+$1,80
$0,80
+$5,80
$0,50
-$5,50
+$5,80
+$5,80
-$5,50
-$5,20
+$5,20
+$5,50
+$1,50
$0,80
-$1,50
$0,20
+$5,50
+$5,50
+$1,80
$0,20
-$1,20
-$5,20
-$1,20
-$1,80
-$5,80
-$5,50
-$5,80
-$5,80
-$1,80
-$1,50
-$1,50
-$1,80
-$1,80
+$1,20
+$5,80
-$5,20
-$1,20
-$5,80
-$1,50
+$5,50
$0,50
+$5,20
