high.thisTrialN,high.stepSize,high.intensity,medium.thisTrialN,medium.stepSize,medium.intensity,low.thisTrialN,low.stepSize,low.intensity,time.onset,time.trial,true_trialN,TR,trialtype,cue,jitter,low.response,hit,target_ms,rewardType,total_earned,time.end.global,time.end.nominal,time.trial.total,medium.response,rt,high.response,Subject ID,fMRI? (yes/no),Task number (1/2/practice),Show instructions? (yes/no),date,expName,frameRate,
-1,4,None,-1,4,None,0,4,8.1,12.017202625000209,0.013777249998383923,1,-6,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,-1,4,None,0,4,8.1,12.017202625000209,2.0049176659995283,1,-6,6,-$5 (20% accuracy),0.026822620352306488,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,-1,4,None,0,4,8.1,12.017202625000209,3.9978976249985863,1,-6,6,-$5 (20% accuracy),,0,0,0.265,-$5,-5,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,-1,4,None,0,4,8.1,12.017202625000209,6.016203540999413,1,-6,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,-1,4,None,0,4,8.1,12.017202625000209,7.998150040999462,1,-6,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,-1,4,None,0,4,8.1,12.017202625000209,9.985487582998758,1,-6,6,-$5 (20% accuracy),,,,,,,23.998812207999435,24.000422583001637,11.968504208998638,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,0,4,8.1,0,4,8.1,23.999744541000837,0.009291541999118635,2,-1,11,+$1 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,0,4,8.1,0,4,8.1,23.999744541000837,1.9973972919979133,2,-1,11,+$1 (50% accuracy),0.0029018045658346816,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,0,4,8.1,0,4,8.1,23.999744541000837,3.985783916999935,2,-1,11,+$1 (50% accuracy),,,1,0.265,+$1,-4,,,,1,0.26251637500172365,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,0,4,8.1,0,4,8.1,23.999744541000837,6.001473624997743,2,-1,11,+$1 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,0,4,8.1,0,4,8.1,23.999744541000837,7.986483958997269,2,-1,11,+$1 (50% accuracy),,,,,,,33.98811504100013,34.00042258300164,9.979599124999368,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,1,4,6.928355041520073,0,4,8.1,33.98871241600136,0.004460291998839239,3,-1,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,1,4,6.928355041520073,0,4,8.1,33.98871241600136,1.9926478339984897,3,-1,2,+$5 (50% accuracy),0.011363725885588094,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,1,4,6.928355041520073,0,4,8.1,33.98871241600136,3.9806835839990526,3,-1,2,+$5 (50% accuracy),,,0,0.24547258402533456,$0,-4,,,,0,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,1,4,6.928355041520073,0,4,8.1,33.98871241600136,5.995419999999285,3,-1,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
-1,4,None,1,4,6.928355041520073,0,4,8.1,33.98871241600136,7.991597208998428,3,-1,2,+$5 (50% accuracy),,,,,,,43.99479845799942,44.00042258300164,10.00209354099934,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
0,4,8.1,1,4,6.928355041520073,0,4,8.1,43.995736749999196,0.005690750000212574,4,-1,7,$0 (80% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
0,4,8.1,1,4,6.928355041520073,0,4,8.1,43.995736749999196,2.0022352500018314,4,-1,7,$0 (80% accuracy),0.00021253657039132514,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
0,4,8.1,1,4,6.928355041520073,0,4,8.1,43.995736749999196,4.002520041001844,4,-1,7,$0 (80% accuracy),,,1,0.265,$0,-4,,,,,0.26395079199937754,1,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
0,4,8.1,1,4,6.928355041520073,0,4,8.1,43.995736749999196,6.0166223750020436,4,-1,7,$0 (80% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
0,4,8.1,1,4,6.928355041520073,0,4,8.1,43.995736749999196,8.016678374999174,4,-1,7,$0 (80% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_22h14.36.000,MID-long,None,
