high.thisTrialN,high.stepSize,high.intensity,medium.thisTrialN,medium.stepSize,medium.intensity,low.thisTrialN,low.stepSize,low.intensity,time.onset,time.trial,true_trialN,TR,trialtype,cue,jitter,low.response,hit,target_ms,rewardType,total_earned,time.end.global,time.end.nominal,time.trial.total,medium.response,rt,high.response,Subject ID,fMRI? (yes/no),Task number (1/2/practice),Show instructions? (yes/no),date,expName,frameRate,
-1,4,None,-1,4,None,0,4,8.1,12.008372917000088,0.013100125001074048,1,-6,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.008372917000088,2.0041307079991384,1,-6,6,-$5 (20% accuracy),0.026822620352306488,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.008372917000088,4.000567999999475,1,-6,6,-$5 (20% accuracy),,0,0,0.265,-$5,-5,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.008372917000088,6.018388749998849,1,-6,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.008372917000088,8.00070116599818,1,-6,6,-$5 (20% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,-1,4,None,0,4,8.1,12.008372917000088,9.98602154100081,1,-6,6,-$5 (20% accuracy),,,,,,,23.99471962499956,24.00482083300085,11.973936541999137,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99548570800107,0.0075536249969445635,2,-1,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99548570800107,1.9960567919988534,2,-1,2,+$5 (50% accuracy),0.0029018045658346816,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99548570800107,3.9860308339993935,2,-1,2,+$5 (50% accuracy),,,1,0.265,+$5,0,,,,1,0.2711612079983752,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99548570800107,5.998195124997437,2,-1,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,23.99548570800107,7.9821391249970475,2,-1,2,+$5 (50% accuracy),,,,,,,,,,,,,XXX000,no,practice,no,2023-06-29_21h53.25.151,MID,None,
