high.thisTrialN,high.stepSize,high.intensity,medium.thisTrialN,medium.stepSize,medium.intensity,low.thisTrialN,low.stepSize,low.intensity,time.onset,true_trialN,cue.type,cue.accuracy,jitter,low.response,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,medium.response,Target_Resp.rt,high.response,participant,fMRI? (yes/no),Task number (1/2/test),date,expName,frameRate,
-1,4,None,-1,4,None,0,4,8.1,12.00955987488851,0,-$5,20,0.026822620352306488,0,-5,-5,21.99557983293198,22.006598375039175,9.973951166961342,1.9956630421802402,1.9846920419950038,,,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,21.99619354098104,1,+$5,50,0.0029018045658346816,,+5,0,31.99695612490177,32.006598375039175,9.994205167051405,2.0125393751077354,2.002939875004813,1,0.2455318330321461,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
0,4,8.1,0,4,8.1,0,4,8.1,31.99754454102367,2,$0,80,0.011363725885588094,,0,0,41.998090457869694,42.006598375039175,9.994948125211522,2.0131432921625674,2.0046823751181364,,0.2552824590820819,1,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
1,4,6.983433000772875,0,4,8.1,0,4,8.1,41.998695333022624,3,+$5,80,0.00021253657039132514,,+5,5,52.00664408295415,52.006598375039175,10.003230875125155,2.0238395421765745,2.023912417003885,,0.2414848750922829,1,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
1,4,6.983433000772875,0,4,8.1,1,4,9.214291069328032,52.00701491604559,4,+$5,20,0.03425533139609461,1,+5,10,61.99503745790571,62.006598375039175,9.984351833118126,1.9938642501365393,1.9823445831425488,,0.24701470788568258,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
2,4,6.386889909154405,0,4,8.1,1,4,9.214291069328032,61.99560062494129,5,-$5,80,0.04037107899868753,,-5,5,71.99529975000769,72.00659837503918,9.995926125207916,2.0182130839675665,2.006956374971196,,,0,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
2,4,6.386889909154405,0,4,8.1,2,4,8.52158143045583,71.99587745801546,6,+$5,20,0.028614119357563833,1,+5,10,82.00637616589665,82.00659837503918,10.006444333819672,2.0230843340978026,2.022915459005162,,0.24803712498396635,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
2,4,6.386889909154405,1,4,6.928355041520073,2,4,8.52158143045583,82.00708495802246,7,$0,50,0.03896919077187469,,0,10,92.00807379093021,92.00659837503918,9.99677158286795,1.9948373751249164,1.9963529999367893,0,,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
2,4,6.386889909154405,2,4,7.547623557659293,2,4,8.52158143045583,92.00865974999033,8,+$5,50,0.0022413189111171795,,+5,15,101.99445529095829,102.00659837503918,9.981321916915476,1.977135084103793,1.9650354590266943,1,0.2407775002066046,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
3,4,6.813470091634942,2,4,7.547623557659293,2,4,8.52158143045583,101.99503604089841,9,$0,80,0.022798604894392047,,0,15,111.9970326658804,112.00659837503918,9.997704667039216,2.010855584172532,2.001340541988611,,0.20989154186099768,1,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
3,4,6.813470091634942,2,4,7.547623557659293,3,4,8.166317086217399,111.9976546249818,10,$0,20,0.028232854843272155,1,0,15,121.99697562493384,122.00659837503918,9.99537712498568,2.0150052499957383,2.005428582895547,,0.23858041688799858,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
3,4,6.813470091634942,3,4,7.254707612936352,3,4,8.166317086217399,121.99761050008237,11,$0,50,0.03191675570952586,,0,15,132.00807791599073,132.00659837503918,10.006562208058313,2.00979870907031,2.011323458980769,1,0.2163049578666687,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
3,4,6.813470091634942,4,4,7.087548041041526,3,4,8.166317086217399,132.0086979160551,12,-$5,50,0.04114158667987698,,0,15,141.99500837503,142.00659837503918,9.982288124971092,2.0091019170358777,1.9975601250771433,1,0.2041628749575466,,XXX000,no,1,2023-06-23_13h48.56.363,MID,None,
