high.thisTrialN,high.stepSize,high.intensity,medium.thisTrialN,medium.stepSize,medium.intensity,low.thisTrialN,low.stepSize,low.intensity,time.onset,true_trialN,trialtype,trialaccuracy,jitter,low.response,hit,target_ms,rt,rewardType,total_earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,medium.response,high.response,participant,fMRI? (yes/no),Task number (1/2/practice),Show instructions? (yes/no),date,expName,frameRate,
-1,4,None,-1,4,None,0,4,8.1,12.006255541928113,0,-$5,20,0.026822620352306488,1,1,0.265,0.23166350019164383,-$0,0,22.00308149983175,22.003321207826957,9.98164741601795,1.9843031659256667,1.9841096659656614,,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,22.003723667003214,1,+$1,50,0.0029018045658346816,,0,0.265,,+$0,0,32.003484916873276,32.00332120782696,9.991184833925217,1.99976074998267,1.9999752501025796,0,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
-1,4,None,1,4,9.289015464646853,0,4,8.1,32.004147958010435,2,+$5,50,0.011363725885588094,,1,0.2848169244107809,0.2726255408488214,+$5,5,42.004796291934326,42.00332120782696,9.996073917020112,2.004127665888518,2.005642040865496,1,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
0,4,8.1,1,4,9.289015464646853,0,4,8.1,42.00531949987635,3,$0,80,0.00021253657039132514,,0,0.265,,$0,5,52.000413707923144,52.00332120782696,9.989833584055305,2.006939207902178,2.004080042010173,,0,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
0,4,8.1,1,4,9.289015464646853,1,4,6.85335204928978,52.00103674991988,4,-$1,20,0.03425533139609461,1,1,0.2442225341548297,0.22197249997407198,-$0,5,62.003247999818996,62.00332120782696,9.997284000040963,1.9999271659180522,1.9998977910727262,,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
1,4,9.344418570514915,1,4,9.289015464646853,1,4,6.85335204928978,62.00383908301592,5,+$5,80,0.04037107899868753,,0,0.2857403095085819,,+$0,5,72.00282129179686,72.00332120782696,9.993837374961004,2.0012229999992996,2.0007627920713276,,0,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
1,4,9.344418570514915,1,4,9.289015464646853,2,4,6.185191045216937,72.00337149994448,6,+$1,20,0.028614119357563833,0,0,0.2330865174202823,,+$0,5,81.9942871669773,82.00332120782696,9.986079917056486,2.021184290992096,2.012205749982968,,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
2,4,10.006391048102989,1,4,9.289015464646853,2,4,6.185191045216937,81.99501633294858,7,-$5,80,0.03896919077187469,,1,0.29677318413504983,0.24361300002783537,-$0,5,92.00009083282202,92.00332120782696,9.999763917177916,2.024865999817848,2.021685458952561,,1,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
3,4,9.785472145620952,1,4,9.289015464646853,2,4,6.185191045216937,92.00073466682807,8,+$1,80,0.0022413189111171795,,1,0.29309120242701586,0.2812112499959767,+$1,6,101.99159287498333,102.00332120782696,9.985616457881406,2.0024009998887777,1.9907087918836623,,1,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
3,4,9.785472145620952,1,4,9.289015464646853,3,4,6.40368725775448,101.99212616682053,9,+$5,20,0.022798604894392047,0,0,0.23672812096257467,,+$0,6,112.00108816684224,112.00332120782696,10.004399624885991,2.0240992908366024,2.021917040925473,,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
3,4,9.785472145620952,2,4,8.70206985076353,3,4,6.40368725775448,112.0017833749298,10,$0,50,0.028232854843272155,,0,0.2750344975127255,,$0,6,122.00123441684991,122.00332120782696,9.995003749849275,2.0040885829366744,2.0020447080023587,0,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
4,4,9.66266449740824,2,4,8.70206985076353,3,4,6.40368725775448,122.00184545782395,11,-$1,80,0.03191675570952586,,1,0.29104440829013734,0.2599957501515746,-$0,6,132.00075341691263,132.00332120782696,9.995359958149493,2.0142012499272823,2.011709999991581,,1,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
4,4,9.66266449740824,3,4,9.010069241756948,3,4,6.40368725775448,132.00143987499177,12,-$5,50,0.04114158667987698,,1,0.28016782069594914,0.22499020909890532,-$0,6,141.99258708278649,142.00332120782696,9.986526125110686,1.9960496658459306,1.9853580410126597,1,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
4,4,9.66266449740824,3,4,9.010069241756948,4,4,6.51173452363184,141.99318095785566,13,$0,20,0.007857081890473789,0,0,0.23852890872719734,,$0,6,152.00350491679274,152.00332120782696,10.00579395913519,2.0251893328968436,2.0254129169043154,,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
4,4,9.66266449740824,4,4,8.852639376777189,4,4,6.51173452363184,152.00401870789938,14,-$1,50,0.012811614326107995,,1,0.2775439896129531,0.2615156250540167,-$0,6,162.00118091679178,162.00332120782696,9.99362445808947,2.0120310408528894,2.0099611659534276,1,,XXX000,no,practice,no,2023-06-27_16h14.19.483,MID,None,
