start.time,trialtype,cue,ArousalRating,ValenceRating,Subject ID,Show instructions? (yes/no),date,expName,frameRate,
0.0007146659991121851,1,+$5 (80% accuracy),6,7,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
6.483294875004503,2,+$5 (50% accuracy),6,6,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
10.594315957998333,3,+$5 (20% accuracy),6,6,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
14.523511999999755,4,-$5 (80% accuracy),6,2,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
19.930580790998647,5,-$5 (50% accuracy),6,2,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
24.817850040999474,6,-$5 (20% accuracy),7,1,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
28.232844707999902,7,$0 (80% accuracy),2,4,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
31.4499027080019,8,$0 (50% accuracy),1,4,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
33.08967637499882,9,$0 (20% accuracy),1,4,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
35.95980233300361,10,+$1 (80% accuracy),5,5,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
43.58562929100299,11,+$1 (50% accuracy),4,5,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
47.42372716600221,12,+$1 (20% accuracy),5,4,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
51.52554291600245,13,-$1 (80% accuracy),5,3,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
58.16380837500037,14,-$1 (50% accuracy),5,2,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
63.64646237499983,15,-$1 (20% accuracy),6,2,XXX001,no,2023-06-30_15h51.26.759,RunRating-long,None,
