cue_type,target_accuracy
loss,20
gain,50
neutral,80
gain,80
gain,20
loss,80
gain,20
neutral,50
gain,50
neutral,80
neutral,20
neutral,50
loss,50
loss,80
neutral,20
gain,80
loss,50
loss,80
neutral,80
loss,20
loss,50
neutral,20
loss,20
gain,20
loss,80
neutral,20
gain,50
neutral,50
gain,80
loss,20
neutral,50
loss,50
gain,80
gain,50
neutral,50
neutral,20
loss,50
gain,80
neutral,80
gain,50
loss,50
loss,80
neutral,80
gain,20
neutral,80
neutral,20
loss,20
gain,20
gain,50
loss,80
neutral,20
neutral,80
loss,50
neutral,50
gain,50
gain,20
gain,80
loss,20
gain,20
loss,20
neutral,50
loss,80
gain,80
